,Name,Full Name,Longitude,Latitude
0,HVWW,Happy Valley,138.5647604311251,-35.0631178114067
0,MAPS2,Mannum,139.31443846248854,-34.92021697813909
0,TBSF,Tailem Bend,139.49,-35.28
0,BNGSF2,Bungala Two,137.840933,-32.406993
0,BNGSF1,Bungala One,137.841798,-32.423316
0,BOLIVAR,Bolivar,138.387641,-34.495482
0,MBPS2,Murray Bridge-Onkaparinga,139.21151125343218,-35.0940934825907
0,TB2SF,Tailem Bend 2,139.49,-35.28
0,MWPS,Morganwhyalla Pipeline,139.686,-34.022
0,CBWWBA,Christies Beach,138.4713503667427,-35.12595812265642
0,PAREPW,Port Augusta Energy Park,137.88562879204383,-32.59560885770281
0,ADP,Adelaide Desalination,138.48406087198447,-35.09694820846758
